Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
85176900	Other apparatus for transmission or recept  on of voice, images or other data	China	PCS	1163	11525	2156
85176900	Other apparatus for transmission or recept  on of voice, images or other data	Hong Kong	PCS	2	38	7
85176900	Other apparatus for transmission or recept  on of voice, images or other data	India	PCS	672	589	117
85176900	Other apparatus for transmission or recept  on of voice, images or other data	Latvia	PCS	9	26	5
85176900	Other apparatus for transmission or recept  on of voice, images or other data	Malaysia	PCS	20	214	40
85176900	Other apparatus for transmission or recept  on of voice, images or other data	Mexico	PCS	2	7603	1418
85177100	Aerials and aerial reflectors of all kinds; parts suitable for use therewith	China	PCS	6116	66122	15896
85177100	Aerials and aerial reflectors of all kinds; parts suitable for use therewith	India	PCS	8	11	3
85177900	Other	China	PCS	163078	80765	19890
85177900	Other	France	PCS	1	365	89
85177900	Other	Germany	PCS	1	1169	284
85177900	Other	India	PCS	5344	13273	3248
85177900	Other	Italy	PCS	3	2133	518
85177900	Other	Korea, Republic of	PCS	748	2161	525
85177900	Other	Malaysia	PCS	7	7647	1858
85177900	Other	United Arab Emirates	PCS	1	6	2
85177900	Other	United States	PCS	2	1049	255
85177900	Other	Viet Nam	PCS	430	4146	1008
85181000	Microphones and stands therefor   .	China	PCS	4455	2659	707
85181000	Microphones and stands therefor   .	Germany	PCS	2	62	15
85181000	Microphones and stands therefor   .	Hong Kong	PCS	3	126	31
85181000	Microphones and stands therefor   .	India	PCS	777	3634	290
85181000	Microphones and stands therefor   .	Japan	PCS	1	18	5
85181000	Microphones and stands therefor   .	Romania	PCS	10	407	99
85181000	Microphones and stands therefor   .	United Arab Emirates	PCS	4	6	1
85181000	Microphones and stands therefor   .	United States	PCS	3	34	8
85182100	Single loudspeakers, mounted in their encl  sures	Bahrain	PCS	6	11	4
85182100	Single loudspeakers, mounted in their encl  sures	China	PCS	8545	10608	3014
85182100	Single loudspeakers, mounted in their encl  sures	Hungary	PCS	10	68	21
85182100	Single loudspeakers, mounted in their encl  sures	India	PCS	2089	2890	882
85182100	Single loudspeakers, mounted in their encl  sures	Indonesia	PCS	143	3444	1051
85182100	Single loudspeakers, mounted in their encl  sures	Kuwait	PCS	9	17	5
85182100	Single loudspeakers, mounted in their encl  sures	Malaysia	PCS	2	4	1
85182100	Single loudspeakers, mounted in their encl  sures	Oman	PCS	8	19	6
85182100	Single loudspeakers, mounted in their encl  sures	Qatar	PCS	40	132	40
85182100	Single loudspeakers, mounted in their encl  sures	Saudi Arabia	PCS	6	10	3
85182100	Single loudspeakers, mounted in their encl  sures	United Arab Emirates	PCS	2	33	10
85182100	Single loudspeakers, mounted in their encl  sures	United Kingdom	PCS	2	2	1
85182100	Single loudspeakers, mounted in their encl  sures	United States	PCS	7	13	4
85182200	Multiple loudspeakers, mounted in the same  enclosure	Bangladesh	PCS	4	6	2
85182200	Multiple loudspeakers, mounted in the same  enclosure	China	PCS	87313	53694	16562
85182200	Multiple loudspeakers, mounted in the same  enclosure	India	PCS	2809	2273	715
85182200	Multiple loudspeakers, mounted in the same  enclosure	Italy	PCS	10	1661	507
85182200	Multiple loudspeakers, mounted in the same  enclosure	Kuwait	PCS	3	8	3
85182200	Multiple loudspeakers, mounted in the same  enclosure	United Arab Emirates	PCS	31	46	14
85182200	Multiple loudspeakers, mounted in the same  enclosure	Viet Nam	PCS	11	92	28
85182900	Loudspeakers, not mounted in encloseurs   .	Bahrain	PCS	1	2	1
85182900	Loudspeakers, not mounted in encloseurs   .	China	PCS	11769	11814	3577
85182900	Loudspeakers, not mounted in encloseurs   .	Germany	PCS	1	2	1
85182900	Loudspeakers, not mounted in encloseurs   .	Hong Kong	PCS	3	14	4
85182900	Loudspeakers, not mounted in encloseurs   .	India	PCS	665	768	230
85182900	Loudspeakers, not mounted in encloseurs   .	Israel	PCS	1	1	0
85182900	Loudspeakers, not mounted in encloseurs   .	Kuwait	PCS	7	43	13
85182900	Loudspeakers, not mounted in encloseurs   .	Philippines	PCS	175	186	56
85182900	Loudspeakers, not mounted in encloseurs   .	Qatar	PCS	29	114	35
85182900	Loudspeakers, not mounted in encloseurs   .	Saudi Arabia	PCS	18	66	20
85182900	Loudspeakers, not mounted in encloseurs   .	United Arab Emirates	PCS	1	4	1
85182900	Loudspeakers, not mounted in encloseurs   .	United States	PCS	1	6	2
85182900	Loudspeakers, not mounted in encloseurs   .	Viet Nam	PCS	58	65	20
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Australia	PCS	5	2	1
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	China	PCS	492825	49177	15187
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	France	PCS	2	319	97
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Germany	PCS	4	326	100
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Hong Kong	PCS	2	20	6
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	India	PCS	29396	656	221
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Israel	PCS	5	1	0
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Japan	PCS	55	63	19
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Korea, Republic of	PCS	668	624	191
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Kuwait	PCS	5	8	3
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Malaysia	PCS	6	4	1
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Netherlands	PCS	1	9	3
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Qatar	PCS	22	53	16
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Taiwan, Province of China	PCS	140	1197	365
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	United Arab Emirates	PCS	2	13	4
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	United Kingdom	PCS	7	5	2
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	United States	PCS	40	153	47
85183000	Headphones, earphones whether or not combi  ed with a microphone & setmore louds.	Viet Nam	PCS	309	5342	1630
85184000	Audio-frequency electric amplifiers   .	China	PCS	501	3883	1299
85184000	Audio-frequency electric amplifiers   .	India	PCS	254	3044	930
85184000	Audio-frequency electric amplifiers   .	Indonesia	PCS	10	55	17
85184000	Audio-frequency electric amplifiers   .	Malaysia	PCS	1	38	12
85185000	Electric sound amplifier sets   .	China	PCS	7516	4299	1441
85185000	Electric sound amplifier sets   .	India	PCS	66	1494	354
85185000	Electric sound amplifier sets   .	Italy	PCS	2	145	44
85185000	Electric sound amplifier sets   .	Viet Nam	PCS	30	24	12
85189000	Parts of apparatus of 8518   .	China	PCS	10855	1022	216
85189000	Parts of apparatus of 8518   .	India	PCS	4549	385	60
85189000	Parts of apparatus of 8518   .	Not_Specified	PCS	32	88	16
85189000	Parts of apparatus of 8518   .	Poland	PCS	1	7	1
85192000	Apparatus operated by coins, banknotes, ba  k cards, tokens or by other means of	India	PCS	186	42	10
85193000	Turntables (recorddecks)  . .	China	PCS	179	56	14
85198100	Other sound recording or reproducing appar  tus using magnetic,optical or semicon	India	PCS	1	64	16
85198900	Other sound recording or reproducing appar  tus, nes.	China	PCS	11209	1210	337
85198900	Other sound recording or reproducing appar  tus, nes.	India	PCS	117	80	14
85198900	Other sound recording or reproducing appar  tus, nes.	United Arab Emirates	PCS	3	17	4
85198900	Other sound recording or reproducing appar  tus, nes.	United Kingdom	PCS	45	7	2
85211000	Video recording or reproducing apparatus,   ith or without video tuner,magnetic t	China	PCS	2753	7361	1806
85211000	Video recording or reproducing apparatus,   ith or without video tuner,magnetic t	India	PCS	5	41	10
85211000	Video recording or reproducing apparatus,   ith or without video tuner,magnetic t	United States	PCS	1	18	4
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	China	PCS	1619	7819	1890
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	Hong Kong	PCS	1	6	2
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	India	PCS	2	210	51
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	Nigeria	PCS	2	5	1
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	Saudi Arabia	PCS	2	26	6
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	Taiwan, Province of China	PCS	9	203	49
85219000	Video recording or reproducing apparatus,   ith or without video tuner,exclmagta.	United States	PCS	1	18	4
85221000	Pick-up cartridges   .	India	PCS	2	19	4
85229010	Parts & assessories of sound recorders & r  producers	China	PCS	40	25	6
85229090	Parts & accessories of other apparatus oth  r than deck,sound recorder&cartidges.	China	PCS	2	338	82
85229090	Parts & accessories of other apparatus oth  r than deck,sound recorder&cartidges.	India	PCS	63	42	10
85229090	Parts & accessories of other apparatus oth  r than deck,sound recorder&cartidges.	Malaysia	PCS	56	3229	785
85229090	Parts & accessories of other apparatus oth  r than deck,sound recorder&cartidges.	United States	PCS	1	95	23
85232100	Cards incorporating a magnetic stripe   .	China	PCS	19500	1977	369
85232100	Cards incorporating a magnetic stripe   .	India	PCS	160979	12559	2343
85232100	Cards incorporating a magnetic stripe   .	Singapore	PCS	152722	17340	3235
85232100	Cards incorporating a magnetic stripe   .	United States	PCS	3	0	0
85232900	Other magnetic storage device	China	PCS	5	2333	435
85232900	Other magnetic storage device	India	PCS	4	2	0
85232900	Other magnetic storage device	United States	PCS	5	475	89
85234100	Optical media Unrecorded  .	China	PCS	12000	81	15
85234100	Optical media Unrecorded  .	France	PCS	2	6	1
85234100	Optical media Unrecorded  .	United States	PCS	2	0	0
85234910	Discs, tapes, solid-state devices with software (firmware)	Bulgaria	PCS	1	889	166
85234910	Discs, tapes, solid-state devices with software (firmware)	China	PCS	1139	27440	4472
85234910	Discs, tapes, solid-state devices with software (firmware)	France	PCS	16	44	8
85234910	Discs, tapes, solid-state devices with software (firmware)	Germany	PCS	5	283	53
85234910	Discs, tapes, solid-state devices with software (firmware)	India	PCS	309	11703	2183
85234910	Discs, tapes, solid-state devices with software (firmware)	Japan	PCS	25	466	87
85234910	Discs, tapes, solid-state devices with software (firmware)	Korea, Republic of	PCS	4	517	96
85234910	Discs, tapes, solid-state devices with software (firmware)	Netherlands	PCS	1	152	28
85234910	Discs, tapes, solid-state devices with software (firmware)	Poland	PCS	2	620	116
85234910	Discs, tapes, solid-state devices with software (firmware)	United States	PCS	9	30819	5748
85234990	Others	Austria	PCS	13	4	1
85234990	Others	China	PCS	6	1	0
85234990	Others	India	PCS	202	8	4
85234990	Others	Japan	PCS	12	5	1
85234990	Others	Korea, Republic of	PCS	42	20	4
85234990	Others	Sierra Leone	PCS	800	416	78
85234990	Others	Slovakia	PCS	2100	754	141
85234990	Others	United Kingdom	PCS	466	57	11
85234990	Others	United States	PCS	3	1	0
85235100	Solidstate nonvolatile storage devices   .	China	PCS	9501	3291	701
85235100	Solidstate nonvolatile storage devices   .	France	PCS	2	167	31
85235100	Solidstate nonvolatile storage devices   .	Germany	PCS	8	44	8
85235100	Solidstate nonvolatile storage devices   .	India	PCS	1051	739	138
85235100	Solidstate nonvolatile storage devices   .	Japan	PCS	1	2	0
85235100	Solidstate nonvolatile storage devices   .	Malaysia	PCS	980	1051	196
85235100	Solidstate nonvolatile storage devices   .	Not_Specified	PCS	2	2	0
85235100	Solidstate nonvolatile storage devices   .	Singapore	PCS	1	14	3
85235100	Solidstate nonvolatile storage devices   .	Switzerland	PCS	2	10	2
85235100	Solidstate nonvolatile storage devices   .	Taiwan, Province of China	PCS	1183	1051	204
85235100	Solidstate nonvolatile storage devices   .	United States	PCS	10	42	8
85235210	Smart cards   .	China	PCS	601502	24421	4555
85235210	Smart cards   .	India	PCS	500004	30429	5675
85235210	Smart cards   .	Mexico	PCS	20000	184	34
85235210	Smart cards   .	Not_Specified	PCS	1	0	0
85235210	Smart cards   .	Sweden	PCS	1	0	0
85235210	Smart cards   .	United States	PCS	3	42	8
85235220	Memory card	China	PCS	58500	607	113
85235220	Memory card	India	PCS	1	1	0
85235220	Memory card	Taiwan, Province of China	PCS	19000	1844	344
85235290	Smart cards   .	Australia	PCS	1	0	0
85235290	Smart cards   .	China	PCS	381	55	10
85235290	Smart cards   .	India	PCS	105229	6483	1210
85235290	Smart cards   .	Japan	PCS	1	0	0
85235290	Smart cards   .	Poland	PCS	2	0	0
85235290	Smart cards   .	Singapore	PCS	8	1	0
85235290	Smart cards   .	Thailand	PCS	10	7	1
85235290	Smart cards   .	United States	PCS	5	1	0
85235900	Other semiconductor media   .	China	PCS	25	72	14
85238000	Others	China	PCS	1	16290	0
85238000	Others	India	PCS	157	1375	257
85238000	Others	Italy	PCS	971	3762	702
85241900	Other	China	PCS	3520	16544	2366
85249100	Of liquid crystals	China	PCS	23	49	15
85249200	Of organic light-emitting diodes (OLED)	China	PCS	51	166	50
85249900	Other	India	PCS	1	29	9
85255000	Transmission apparatus   .	Australia	PCS	31	62642	0
85255000	Transmission apparatus   .	China	PCS	26	74	17
85255000	Transmission apparatus   .	Italy	PCS	1	349	65
85255000	Transmission apparatus   .	United Arab Emirates	PCS	1	7	1
85256000	Transmission apparatus incorporating recep  ion apparatus	China	PCS	71	865	161
85256000	Transmission apparatus incorporating recep  ion apparatus	Italy	PCS	12	2082	388
85258110	Television Camera	China	PCS	1617	4931	921
85258110	Television Camera	India	PCS	2	9	2
85258120	Digital Camera	Hong Kong	PCS	1	74	14
85258120	Digital Camera	Japan	PCS	20	1151	221
85258130	Video Camera Recorder	China	PCS	10	1253	43
85258130	Video Camera Recorder	Japan	PCS	5	112	27
85258210	Television Camera	China	PCS	600	1083	202
85258330	Video Camera Recorder	China	PCS	2233	9971	1861
85258330	Video Camera Recorder	India	PCS	95	1417	264
85258910	Television Camera	China	PCS	4084	16134	3009
85258910	Television Camera	India	PCS	97	129	27
85258910	Television Camera	Malaysia	PCS	2	431	80
85258910	Television Camera	Taiwan, Province of China	PCS	2	40	7
85258910	Television Camera	United States	PCS	10	81	15
85258920	Digital Camera	China	PCS	5076	10595	1982
85258920	Digital Camera	India	PCS	11	12	2
85258920	Digital Camera	Japan	PCS	4	1616	301
85258920	Digital Camera	Kuwait	PCS	1	37	7
85258920	Digital Camera	Qatar	PCS	1	3	1
85258920	Digital Camera	Singapore	PCS	1	47	10
85258920	Digital Camera	Thailand	PCS	13	1886	352
85258920	Digital Camera	Viet Nam	PCS	298	3113	580
85258930	Video Camera Recorder	China	PCS	8167	16037	3002
85258930	Video Camera Recorder	India	PCS	1224	1329	250
85258930	Video Camera Recorder	United States	PCS	12	322	60
85258930	Video Camera Recorder	Viet Nam	PCS	9	169	32
85261000	Radar apparatus   .	China	PCS	5	11	2
85261000	Radar apparatus   .	United States	PCS	1	306	57
85269100	Radio navigational aid apparatus  . .	China	PCS	563	3080	923
85269100	Radio navigational aid apparatus  . .	India	PCS	50	72	22
85269200	Radio remote control apparatus   .	Bulgaria	PCS	3	13	4
85269200	Radio remote control apparatus   .	China	PCS	22458	1119	339
85269200	Radio remote control apparatus   .	Hong Kong	PCS	1	0	0
85269200	Radio remote control apparatus   .	India	PCS	10062	663	200
85269200	Radio remote control apparatus   .	Iran, Islamic Republic of	PCS	1	4	1
85269200	Radio remote control apparatus   .	Romania	PCS	5	10	3
85271200	Pocket-size radio cassette players   .	China	PCS	1	0	0
85271200	Pocket-size radio cassette players   .	India	PCS	2128	378	101
85271900	Radio receivers, portable, (excl sound re c rding/reproducing apparatus) nes.	China	PCS	12540	1665	425
85271900	Radio receivers, portable, (excl sound re c rding/reproducing apparatus) nes.	India	PCS	357	140	36
85271900	Radio receivers, portable, (excl sound re c rding/reproducing apparatus) nes.	United Arab Emirates	PCS	1	23	7
85272100	Radio receivers for motor vehicles, with s  und reproducing apparatus	India	PCS	124	10	2
85272900	Radio receivers for motor vehicles, nes   .	India	PCS	3	127	31
85279200	Reception apparatus for radio broadcasting  without sound recording/reproducing a	China	PCS	40	52	13
85279200	Reception apparatus for radio broadcasting  without sound recording/reproducing a	India	PCS	8	5	1
85279200	Reception apparatus for radio broadcasting  without sound recording/reproducing a	Malaysia	PCS	2	32	8
85279900	Other reception apparatus for radio broadc  sting, nes	China	PCS	1450	288	129
85279900	Other reception apparatus for radio broadc  sting, nes	Indonesia	PCS	1	204	50
85279900	Other reception apparatus for radio broadc  sting, nes	Japan	PCS	2	37	9
85279900	Other reception apparatus for radio broadc  sting, nes	Malaysia	PCS	25	754	183
85284200	Capable of directly connecting to and designed for use with an automatic data process	China	PCS	16	669	0
85284200	Capable of directly connecting to and designed for use with an automatic data process	India	PCS	2	153	20
85284900	Other - CRT monitors  . .	China	PCS	1090	326	355
85284900	Other - CRT monitors  . .	India	PCS	2	16	8
85285210	Monitor having diagnal lenth upto 23 inch design for use of heading 8471	Brazil	PCS	1	19	4
85285210	Monitor having diagnal lenth upto 23 inch design for use of heading 8471	China	PCS	5577	32726	6129
85285210	Monitor having diagnal lenth upto 23 inch design for use of heading 8471	India	PCS	1	5	1
85285210	Monitor having diagnal lenth upto 23 inch design for use of heading 8471	Japan	PCS	1	7	1
85285210	Monitor having diagnal lenth upto 23 inch design for use of heading 8471	United Arab Emirates	PCS	1	80	15
85285210	Monitor having diagnal lenth upto 23 inch design for use of heading 8471	United States	PCS	1	3	0
85285290	Monitor having diagnal lenght more than 23 inch for use of heading 8471	China	PCS	453	12456	4435
85285290	Monitor having diagnal lenght more than 23 inch for use of heading 8471	Germany	PCS	2	193	69
85285290	Monitor having diagnal lenght more than 23 inch for use of heading 8471	India	PCS	3	47	17
85285290	Monitor having diagnal lenght more than 23 inch for use of heading 8471	Japan	PCS	4	1309	466
85285290	Monitor having diagnal lenght more than 23 inch for use of heading 8471	United States	PCS	1	24	9
85285900	Other monitors, nes   .	China	PCS	757	28442	13836
85285900	Other monitors, nes   .	Hong Kong	PCS	1	7	3
85285900	Other monitors, nes   .	India	PCS	62	170	80
85285900	Other monitors, nes   .	Japan	PCS	2	12	6
85285900	Other monitors, nes   .	Netherlands	PCS	1	20	9
85285900	Other monitors, nes   .	Taiwan, Province of China	PCS	7	262	123
85285900	Other monitors, nes   .	United States	PCS	1	38	18
85285900	Other monitors, nes   .	Viet Nam	PCS	2	1092	512
85286200	Capable of directly connecting to and designed for use with an automatic data process	Singapore	PCS	1	1	0
85286900	Other projectors  . .	Bangladesh	PCS	1	7	2
85286900	Other projectors  . .	China	PCS	1385	31178	7622
85286900	Other projectors  . .	Japan	PCS	1	98	24
85286900	Other projectors  . .	Qatar	PCS	1	6	2
85286900	Other projectors  . .	United Kingdom	PCS	1	3	1
85287100	Reception apparatus for TV not designed to  incorporate a video display or screen	China	PCS	17770	53146	15937
85287100	Reception apparatus for TV not designed to  incorporate a video display or screen	India	PCS	129	83	25
85287100	Reception apparatus for TV not designed to  incorporate a video display or screen	United States	PCS	1	1	0
85287211	Colour Television unassembleed up 48 inch	China	PCS	1	6	3
85287211	Colour Television unassembleed up 48 inch	India	PCS	39	276	32
85287219	Other Colour Television	China	PCS	1	69	43
85287219	Other Colour Television	India	PCS	15	142	11
85287219	Other Colour Television	Singapore	PCS	2	51	31
85287219	Other Colour Television	United Arab Emirates	PCS	1	90	55
85287291	Other colour television upto 48 inch	Bahrain	PCS	1	32	16
85287291	Other colour television upto 48 inch	China	PCS	2104	30730	15107
85287291	Other colour television upto 48 inch	India	PCS	252	1073	514
85287291	Other colour television upto 48 inch	Korea, Republic of	PCS	3	115	57
85287291	Other colour television upto 48 inch	Kuwait	PCS	1	48	24
85287291	Other colour television upto 48 inch	Malaysia	PCS	13	560	276
85287291	Other colour television upto 48 inch	Oman	PCS	1	34	17
85287291	Other colour television upto 48 inch	Qatar	PCS	17	691	341
85287291	Other colour television upto 48 inch	Saudi Arabia	PCS	3	121	60
85287291	Other colour television upto 48 inch	Thailand	PCS	1	46	23
85287291	Other colour television upto 48 inch	United Arab Emirates	PCS	25	1123	554
85287299	others television	China	PCS	151	5671	3493
85287299	others television	Finland	PCS	1	65	40
85287299	others television	India	PCS	13	78	48
85287299	others television	Kuwait	PCS	3	203	125
85287299	others television	Malaysia	PCS	9	1034	637
85287299	others television	Qatar	PCS	6	292	180
85287299	others television	Singapore	PCS	1	60	37
85287299	others television	United Arab Emirates	PCS	13	826	509
85287299	others television	United States	PCS	1	63	39
85291000	Aerials and aerial reflectors of all kinds  and parts thereof	Australia	PCS	2	33	8
85291000	Aerials and aerial reflectors of all kinds  and parts thereof	China	PCS	479	5252	1276
85291000	Aerials and aerial reflectors of all kinds  and parts thereof	France	PCS	90	10062	2445
85291000	Aerials and aerial reflectors of all kinds  and parts thereof	India	PCS	723	53	16
85291000	Aerials and aerial reflectors of all kinds  and parts thereof	Korea, Republic of	PCS	12	11	3
85291000	Aerials and aerial reflectors of all kinds  and parts thereof	United Kingdom	PCS	1	6	2
85299010	Parts of television receiver (color)  . .	China	PCS	31398	30004	7723
85299010	Parts of television receiver (color)  . .	India	PCS	2105	3012	732
85299010	Parts of television receiver (color)  . .	Korea, Republic of	PCS	10	20	5
85299010	Parts of television receiver (color)  . .	Not_Specified	PCS	232	3870	940
85299010	Parts of television receiver (color)  . .	Thailand	PCS	2	1	0
85299010	Parts of television receiver (color)  . .	Viet Nam	PCS	38	146	36
85299090	Parts of apparatus of heading 8525-8528  ex ept for television receiver	China	PCS	117462	2356	475
85299090	Parts of apparatus of heading 8525-8528  ex ept for television receiver	India	PCS	10132	100	19
85299090	Parts of apparatus of heading 8525-8528  ex ept for television receiver	Italy	PCS	180	236	44
85299090	Parts of apparatus of heading 8525-8528  ex ept for television receiver	Netherlands	PCS	1	1	0
85299090	Parts of apparatus of heading 8525-8528  ex ept for television receiver	United States	PCS	2	24	4
85308000	Electrical signalling equipment for roa ds, inland waterways.	Belgium	PCS	20	2829	847
85308000	Electrical signalling equipment for roa ds, inland waterways.	Bulgaria	PCS	1	6	2
85308000	Electrical signalling equipment for roa ds, inland waterways.	India	PCS	7747	6029	1806
85308000	Electrical signalling equipment for roa ds, inland waterways.	Korea, Republic of	PCS	9	160	48
85309000	Parts of electrical signalling equipment f  r railways, etc, of 8530.	Belgium	PCS	2	15	5
85309000	Parts of electrical signalling equipment f  r railways, etc, of 8530.	India	PCS	50	20	6
85309000	Parts of electrical signalling equipment f  r railways, etc, of 8530.	Sweden	PCS	6	875	262
85311000	Electrical burglar or fire alarms and simi  ar apparatus.	China	PCS	5917	3469	898
85311000	Electrical burglar or fire alarms and simi  ar apparatus.	India	PCS	51929	1756	427
85311000	Electrical burglar or fire alarms and simi  ar apparatus.	Korea, Republic of	PCS	47	124	31
85311000	Electrical burglar or fire alarms and simi  ar apparatus.	Papua New Guinea	PCS	610	1812	440
85312000	Indicator panels with liquid crystal devic  s (LCD) or light emitting diodes (LED	China	PCS	5508	4538	1128
85312000	Indicator panels with liquid crystal devic  s (LCD) or light emitting diodes (LED	India	PCS	2672	673	164
85312000	Indicator panels with liquid crystal devic  s (LCD) or light emitting diodes (LED	Taiwan, Province of China	PCS	1	9	2
85318000	Electrical apparatus for sound/visual sign  lling, nes(bells,sirens,burglar,fire	China	PCS	2591	283	69
85318000	Electrical apparatus for sound/visual sign  lling, nes(bells,sirens,burglar,fire	India	PCS	6392	1278	309
85319000	Parts of apparatus of 8531   .	China	PCS	181	85	21
85319000	Parts of apparatus of 8531   .	India	PCS	2407	5008	1214
85319000	Parts of apparatus of 8531   .	Italy	PCS	10	16	4
85321000	Fixed capacitors for 50/60 hz circuits hav  ng power capacity >=05kvar	India	PCS	1442	20751	3550
85322100	Fixed electrical capacitors of tantalum   .	India	PCS	300	10	2
85322200	Fixed electrical capacitors of aluminium e  ectrolyte	India	PCS	236	131	32
85322400	Fixed electrical capacitors of ceramic die  ectric, multilayer	Japan	PCS	4000	11	3
85322400	Fixed electrical capacitors of ceramic die  ectric, multilayer	Philippines	PCS	4000	3	1
85322500	Fixed electrical capacitors of dielectric   f paper or plastics	India	PCS	8312	286	70
85322500	Fixed electrical capacitors of dielectric   f paper or plastics	Mexico	PCS	1	3	1
85322900	Fixed electrical capacitors, nes  . .	China	PCS	55	16	4
85322900	Fixed electrical capacitors, nes  . .	India	PCS	5103	1245	292
85323000	Electrical variable or adjustable (pre-set   capacitors	China	PCS	700	80	19
85323000	Electrical variable or adjustable (pre-set   capacitors	India	PCS	1612	149	36
85329000	Parts of electrical capacitors of 8532   .	China	PCS	10	0	0
85329000	Parts of electrical capacitors of 8532   .	India	PCS	163	3294	330
85331000	Fixed carbon resistors, composition or fil   types	India	PCS	15	11	3
85332100	Fixed resistors for a power handling capac  ty =<20w.	China	PCS	505	18	4
85332100	Fixed resistors for a power handling capac  ty =<20w.	India	PCS	10324	11	3
85332900	Fixed resistors for a power handling capac  ty >20w	India	PCS	8	25	6
85333100	Wirewound variable resistors for a power h  ndling capacity =<20w	India	PCS	18	16	4
85333900	Wirewound variable resistors for a power h  ndling capacity >20 W	India	PCS	3	29	7
85334000	Variable resistors, nes (incl rheostats a n  potentiometers).	China	PCS	5	11	3
85334000	Variable resistors, nes (incl rheostats a n  potentiometers).	India	PCS	26	50	12
85334000	Variable resistors, nes (incl rheostats a n  potentiometers).	United Kingdom	PCS	2	9	2
85339000	Parts of electrical resistors, rheostats a  d potentiometers.	India	PCS	106	149	36
85340000	Printed circuits  . .	Brazil	PCS	5	6	2
85340000	Printed circuits  . .	China	PCS	2803	1322	329
85340000	Printed circuits  . .	Denmark	PCS	2	52	13
85340000	Printed circuits  . .	France	PCS	3	22	5
85340000	Printed circuits  . .	Germany	PCS	2	30	8
85340000	Printed circuits  . .	Hong Kong	PCS	7	6	2
85340000	Printed circuits  . .	India	PCS	28345	936	230
85340000	Printed circuits  . .	Italy	PCS	5	305	74
85340000	Printed circuits  . .	Japan	PCS	3	15	4
85340000	Printed circuits  . .	Korea, Republic of	PCS	1	11	3
85340000	Printed circuits  . .	Not_Specified	PCS	2	8	2
85340000	Printed circuits  . .	Romania	PCS	1	15	4
85340000	Printed circuits  . .	Spain	PCS	1	2	0
85340000	Printed circuits  . .	Sweden	PCS	2	186	45
85340000	Printed circuits  . .	Thailand	PCS	1	14	3
85340000	Printed circuits  . .	United Kingdom	PCS	1	13	3
85351000	Fuses, >1000 V   .	China	PCS	7535	3063	917
85351000	Fuses, >1000 V   .	India	PCS	15045	876	121
85352100	Automatic circuit breakers for a voltage 1  -725 kV	China	PCS	32	42	12
85352100	Automatic circuit breakers for a voltage 1  -725 kV	India	PCS	4	2738	688
85352900	Automatic circuit breakers for a voltage >  25 kV	China	PCS	2	3	1
85352900	Automatic circuit breakers for a voltage >  25 kV	India	PCS	1	406	118
85352900	Automatic circuit breakers for a voltage >  25 kV	United States	PCS	1	9	3
85353000	Isolating switches and make-and-break swit  hes, >1000 V.	China	PCS	27	1621	486
85353000	Isolating switches and make-and-break swit  hes, >1000 V.	India	PCS	51	4421	390
85354000	Lightning arresters, voltage limiters and   urge suppressors, >1000 V	Austria	PCS	12	523	157
85354000	Lightning arresters, voltage limiters and   urge suppressors, >1000 V	China	PCS	2874	4630	1387
85354000	Lightning arresters, voltage limiters and   urge suppressors, >1000 V	India	PCS	400	38276	585
85354000	Lightning arresters, voltage limiters and   urge suppressors, >1000 V	Italy	PCS	90	272	82
85359000	Other apparatus for switching electrica l c rcuits, >1000 V, nes.	China	PCS	16	15465	955
85359000	Other apparatus for switching electrica l c rcuits, >1000 V, nes.	India	PCS	3576	12967	1665
