HSCode,Description,Unit,Quantity,Imports_Value,Imports_Revenue
30043100,"Medicaments of insulin, for retail sale",Kg,46740,77162,3941
30043200,"Madicaments of  corticosteroid hormones, t  eir derivatives  or structural analog",Kg,7028,10205,510
30043900,"Medicaments of other hormones, for retail   ale, nes",Kg,3580,35396,1747
30045000,Other medicaments of vitamins or other pro  ucts of 2936 for retail sale.,Kg,2591,11743,599
30049010,Homoeopathic medicaments(Pure ayurvedic an   yunani),Kg,56911,54626,2819
30049049,"Chyawanprash, Dasamularist, kalpasundari,  Ashokarista, herbal vitamins.",Kg,12112,5737,1404
30049050,Menthol and campoor containing balms or alike,Kg,8049,23093,5488
30049090,Other - Medicaments put up in measured dos  s or in forms or packing for retail s,Kg,959874,1803233,94550
30051020,Adhesive Plaster,Kg,4337,2677,223
30051030,Adhesive Tape,Kg,1800,1199,120
30051090,Other Adhesive dressing and articles having an adhesive layer,Kg,7234,8741,731
30059010,Medicated cotton wool,Kg,14740,7591,386
30059020,Bandage,Kg,3238,1643,165
30059030,Surgical tape,Kg,2990,1908,189
30059090,"Other wadding, gauze, bandage and similar articles for medical surgical, dental or ve",Kg,42594,24496,2141
30061000,"Sterile surgical catgut, similar sterile s  ture materials (including sterile aa.",Kg,2743,13773,2701
30064000,Dental cements and other dental fillings;   one reconstruction cements,Kg,6319,13228,3216
30065000,First-aid boxes and kits  .,Kg,1139,459,110
30066000,Chem contraceptive prepbased on hormones  o  other prod of head 2937 or sperm,Kg,6004,8504,0
30067000,Gel preparation designed to be used in hum  n or veterinary medcine as ainstru,Kg,2741,308,74
30069100,Appliances identifiable for ostomy use,Kg,32,46,11
31010000,Animal or vegetable fertilizers,Kg,3118397,102551,5
31021010,Diesel Exhaust Fluid,Kg,6230,587,29
31021099,Other Uria,Kg,20150625,2073713,0
31022100,Ammonium sulphate,Kg,311000,9281,0
31031100,Containing by weight 35 % or more of diphosphorus pentaoxide (P2O5),Kg,42000,1125,0
31031900,Other,Kg,2628000,77945,0
31042000,Potassium chloride,Kg,3000,410,0
31043000,Potassium sulphate,Kg,1250,293,0
31051000,"Fertilizers, in tablets or similar forms o   in packages of a gross weight =<10kg",Kg,9540,4310,0
31052000,"Mineral or chemical fertilizers with nitro  en, phosphorus and potassium.",Kg,16000,2545,0
31059000,"Other fertilizers, nes",Kg,193438,10989,1
32012000,Wattle extract,Kg,770,245,46
32019090,--- Other tanning extracts of vegetable or  gin nes.,Kg,50,16,3
32029000,"Inorganic tanning substances; tanning prep  rations, enzymatic preparation for a.",Kg,22980,3154,580
32030000,"Colouring matter of vegetable or animal or  gin, and preparations,Khayar Kachchha",Kg,777,284,84
32041100,Disperse dyes and preparations based there  n,Kg,11375,7537,1077
32041200,Acid dyes and preparations; mordant dyes a  d preparations,Kg,2632,3282,788
32041300,Basic dyes and preparations based thereon,Kg,7739,8179,1323
32041400,Direct dyes and preparations based thereon,Kg,6644,3314,698
32041500,Vat dyes and preparations based thereon,Kg,80,292,69
32041600,Reactive dyes and preparations based there  n,Kg,8800,4597,705
32041700,Pigments and preparations based thereon,Kg,8817,7086,1665
32041900,Other synthetic organic colouring matter (  ncl mixtures) of products of 320411-3,Kg,20741,11098,2346
32042000,Synthetic organic products used as fluores  ent brightening agents,Kg,3680,1240,250
32049000,Synthetic organic products used as luminop  ores,Kg,2949,1313,308
32050000,Colour lakes; preparations based on colour  lakes as specified in Note 3.,Kg,1688,4922,719
32061100,"Pigments and preparations based on titaniu   dioxide, cont'g >= 80% titanium diox",Kg,306250,147482,39585
32061900,"Pigments and preparations based on titaniu   dioxide, cont'g < 80% titanium dioxi",Kg,88447,20719,6081
32062000,Pigments and preparations based on chromiu   compounds,Kg,12360,3997,1182
32064100,Ultramarine and preparations based thereon,Kg,510,135,40
32064200,Lithopone and other pigments and preparati  ns based on zinc sulphide,Kg,3,2,1
32064900,"Other colouring matter; preparations as sp  cified in note 3, nes",Kg,233046,71916,21230
32065000,Inorganic products of a kind used as lumin  phores,Kg,4416,248,74
32071000,"Prepared pigments, opacifiers and colours   or ceramics, etc",Kg,1017,237,71
32072000,"Vitrifiable enamels and glazes, englobes a  d similar preparations",Kg,30000,2094,609
32081000,"Paints & varnishes based on polyesters, in  a non-aqueous medium",LTR,25766,9450,6389
32082000,"Paints & varnishes based on acrylic or vin  l polymers, in a non-aqueous medium",LTR,31406,5638,3885
32089000,"Paints and varnishes, in a non-aqueous med  um, nes.",LTR,99697,35722,17223
32091010,Acrylic Emulsion,LTR,1199147,220035,102138
32091090,"Other Paint, varnishes enamels",LTR,30597,4681,3182
32099000,"Paints and varnishes, in an aqueous medium   nes",LTR,5560,4041,2761
32100010,Thermoplastic Road Marking Material,Kg,48000,2536,1757
32100090,"Other Paint, Varnishes, enamel. Lacquers, Distemper",LTR,3857,1765,1221
32110000,Prepared driers,Kg,56423,23532,5519
32121000,Stamping foils,Kg,1364,670,160
32129000,"Pigments in non-aqueous media, nes, for re  ail sale",Kg,4152,2278,552
32131000,Colours in sets,Kg,2718,1551,375
32139000,"Artists', students' or signboard painters'  colours in packings, nes.",Kg,1755,861,205
32141000,"Glaziers'& grafting putty, resin cements,c  ulking comp's & other mastics; painte",Kg,1279499,65938,18363
32149000,Non-refractory surfacing preparations,Kg,159096,12192,3363
32151100,"Black printing ink, whether or not concent  ated or solid",Kg,27908,10554,2276
32151900,"Printing ink, whether or not concentrated   r solid (excl black)",Kg,203779,82113,16861
32159000,"Other ink, whether or not concentrated or   olid, nes",Kg,39630,21980,4764
33011900,"Essential oils of citrus fruit (incl conc r tes and absolutes), nes",LTR,529,142,34
33012500,"Essential oils of mints (incl concretes a n  absolutes), nes",LTR,200,145,35
33012900,"Essential oils (incl concretes and absolu t s), nes.",LTR,681,1103,263
33013000,Resinoids  .,LTR,37,30,7
33019000,"Concentrates of essential oils in fats  aqu ous distillates, extracted oleoresi",LTR,16538,21192,4336
33021010,"Mixtures of,or with basis of,odoriferous s  bst's incl alc sol's for food or drin",LTR,259183,46899,15064
33021090,"Other odoriferous substances, of kind used for the manufacture of beverage",LTR,74971,40876,11638
33029000,"Mixtures of,or with a basis of,odoriferous  subst's incl alc sol's for use in ind",LTR,63002,69332,17406
33030000,Perfumes and toilet waters,LTR,19749,33849,16043
33041000,Lip make-up preparations  . .,Kg,29742,27419,14313
33042000,Eye make-up preparations  . .,Kg,15988,12172,6220
33043010,Manicure or pedicure preparations   .,LTR,2134,4767,2356
33043090,Manicure or pedicure preparations   .,Kg,7440,2602,1313
33049100,"Powders, whether or not compressed   .",Kg,50007,34460,17032
33049910,Face Cream,Kg,16902,41216,20217
33049920,Nail Polish,LTR,6234,5868,1749
33049930,Body Lotion,Kg,23173,22089,10949
33049940,Sindur,Kg,33301,2024,590
33049950,Petrolium Jelly in retail sales packed used to protect skin,Kg,751,1137,583
33049990,Other beauty or make up preparetions,Kg,144923,216510,122769
33051000,Shampoos   .,LTR,168577,72085,39640
33052000,Preparations for permanent waving or strai  htening,Kg,12038,1973,1103
33053000,Hair lacquers  . .,Kg,62138,14669,8475
33059010,Hair Oil,LTR,120645,52063,25333
33059020,Hair dye or colour,Kg,47498,34705,16826
33059030,Hair cream,Kg,7031,3373,1655
33059040,Hair conditioner,LTR,48935,21980,10861
33059090,Other preparations for use on the hair,Kg,101397,57228,28020
33061000,Dentifrices   .,Kg,63032,29337,13139
33062000,"Yarn used to clean between the teeth (dent  l floss),in individual retail package",Kg,110,124,61
33069000,"Preparations for oral or dental hygiene (i  cl denture fixative), nes",Kg,4775,2487,1206
33071000,"Pre-shave, shaving or after-shave preparat  ons",LTR,2488288,6924,3412
33072000,Personal deodorants and antiperspirants   .,LTR,18570,23089,9913
33073000,Perfumed bath salts and other bath prepara  ions.,Kg,1036,2155,1064
33074100,Agarbatti and other odiferous preparations  which operate by burning.,Kg,306414,50393,20857
33074900,"Preparations for deodorizing rooms, nes   .",LTR,19027,12111,5178
33079000,"Other perfumery, cosmetic or toilet prepar  tions, nes",Kg,16946,11255,4780
34011100,Soap for toilet use including medicaments .,Kg,125911,28300,14903
34011900,"Other Type of Soaps in the forms of bars,   akes, moulded pieces or shapes",Kg,131546,11396,6000
34012010,"Soap in other forms, nes  .",Kg,175000,35876,12757
34012090,"Soap in other forms, nes  .",Kg,4287,877,492
34013000,"Organic surface-active prod& prep for wa sh ng the skin, in the form of liquid o.",Kg,240655,129770,69561
34023100,Linear alkylbenzene sulphonic acids and their salts,Kg,422359,80709,24164
34023900,Other,Kg,184868,38674,20912
34024100,Cationic,Kg,100,10,6
34024200,Non-ionic,Kg,2081,1757,953
34024900,Other,Kg,56336,11526,6078
34025010,Detergent Powder,Kg,244039,24975,13107
34025090,Others,Kg,244621,37985,19962
34029000,Other,Kg,766275,119914,63247
34031100,"Lubricating preparation materials, with <7  % petroleum oil for textile, leather,",LTR,324,160,39
34031900,"Other lubricating preparations, with <70%   etroleum oil, nes",LTR,32906,8222,2076
34039100,"Preparations for lubricating materials, et  , nes",Kg,400,1450,434
34039900,"Other lubricating preparations, nes",Kg,21171,8774,2523
34042000,Artificial waxes & prepared waxes of poly(  xyethylene)(polyethylene glycol).,Kg,20,2,1
34049000,"Artificial waxes and prepared waxes, nes  .",Kg,15406,4242,925
34051000,"Polishes, creams and similar preparations   or footwear or leather",Kg,39900,13086,3900
34052000,"Polishes, creams and similar preparations   or maintenance of woodwork",Kg,10407,1377,410
34053000,Polishes and similar preparations for coac  work (excl metal polishes),Kg,1848,172,52
34054000,Scouring pastes and powders and other scou  ing preparations,Kg,10410,1230,362
34059000,"Other polishes, creams and similar prepara  ions, nes",Kg,10617,1683,498
34060000,"Candles, tapers and the like  .",Kg,15554,3521,1054
34070010,"Modelling Paste, including those put up for children's amusement",Kg,840,340,102
34070090,Other preparations for use in dentistry,Kg,1672,4553,1364
35019000,Caseinates and other casein derivatives; c  sein glues,Kg,960,1626,395
35022000,"Milk albumin, including concentrates of tw   or more whey proteins",Kg,3000,6755,1641
35029000,"Albumins (excl egg albumin and milk album i ), albuminates and other derivatives.",Kg,0,1,0
35030000,Gelatin and derivatives; isinglass; glues   f animal origin (excl 3501),Kg,154,139,34
35040000,"Peptones/protein substances and derivative  , nes; hide powder",Kg,5214,2482,491
35051000,Dextrins and other modified starches  .,Kg,2040,373,128
35052000,"Glues based on starches, dextrins or other  modified starches",Kg,4721,743,181
35061000,"Products put up as glues or adhesives for   etail sale, =<1kg",Kg,111960,60028,13085
35069100,Adhesives based on polymers of heading 39 0  to 3913 or on rubber,Kg,574133,164325,33473
35069900,"Prepared glues and other prepared adhesive  , nes",Kg,104690,21990,4879
35079000,Enzymes; prepared enzymes (not elsewhere s  ecified or included),Kg,15726,19125,3953
36020000,"Prepared explosives, (excl propellent pow d rs).",Kg,210000,41559,9865
36032000,Detonating cords,Kg,6045,5277,1253
36033000,Percussion caps,Kg,400,1009,239
36034000,Detonating caps,Kg,2930,5362,1273
36035000,Igniters,Kg,760,1153,274
36036000,Electric detonators,Kg,13354,14771,3506
36061000,"Liquid or liquefied-gas fuels in container  , for lighters, =<300cm3.",Kg,45,24,8
36069000,"Ferro-cerium, pyrophoric alloys; articles   f combustible materials, nes.",Kg,25,9,1
37011000,"Photographic plates & film for x-ray, in t  e flat, unexposed.",SQM,5974,17008,851
37013000,Other plate and film with any side >255mm,SQM,2,47,11
37021000,"Photographic film in rolls, for x-ray, une  posed",SQM,1,1,0
37023200,"Film, in rolls, non-perforated, with silve   halide emulsion, width =<105mm",SQM,55,4,1
37032000,"Other photographic paper, paperboard and t  xtiles for colour photography",SQM,36378,5262,1279
37039000,"Photographic paper, paperboard and textile  , nes.",SQM,3159,234,88
37069000,"Cinematograph film, exposed and developed,  width <35mm",MTR,8,626,263
37071000,Sensitising emulsions for photographic use,Kg,1,1,0
37079010,Toner Powder,Kg,2479,3570,665
37079090,"Other chemical preparation for photographic uses, put up for retail sale",Kg,6271,4888,897
38019000,"Preparations based on graphite or carbon i   the form of pastes, nes.",Kg,61200,5356,1302
38021000,Activated carbon  .,Kg,25701,4097,764
38029000,Activated natural mineral products; animal  black,Kg,143449,12366,2307
38040000,Residual lyes from the manufacture of wood  pulp (excl tall oil),Kg,50,23,4
38051000,"Gum, wood or sulphate turpentine oils",LTR,1014,98,23
38059000,"Other turpenic oils, nes; crude dipentene,  crude paracymene, pine oil etc",Kg,14393,3151,725
38061000,Rosin and resin acids,Kg,100,25,6
38063000,Ester gums,Kg,4145,835,203
38069000,"Derivatives of rosin and resin acids, nes;  rosin spirit and oils, nes",Kg,33600,2192,434
38085900,Other,Kg,6730,1119,272
38086900,Other,Kg,150,83,20
38089110,"Household Insecticide like Anti-Mosquito, A ti-Cockroach Products[K",Kg,35535,36345,10156
38089190,Balinalima paryog hune Kitnashak Aushadiharoo,Kg,429442,149117,2317
38089200,Fungicides,Kg,145910,62069,802
38089310,Herbicides,Kg,27397,20916,274
38089390,Antisprouting Products & Plant Growth Regulator,Kg,45898,24528,5978
38089410,Sanitizer,Kg,14994,2543,474
38089490,Other disinfected,Kg,38056,23951,4360
38089911,"Other - rodenticides, herbicides, a plan t  rowth regulator (excl note 1) nes",Kg,6080,5104,85
38089990,Others,Kg,18344,3854,719
38099100,"Finishing agents, etc, of a kind used in t  e textile or like industries nes.",Kg,75909,21851,4381
38099200,"Finishing agents, etc, of a kind used in t  e paper or like industries nes",Kg,79668,8671,1744
38099300,"Finishing agents, etc, of a kind used in t  e leather or like industries nes.",Kg,6126,1576,352
38101000,"Pickling preparations for metal surfaces;   oldering, brazing or welding powders.",Kg,4803,603,147
38109000,Other - Pickling preparations for metal su  faces,Kg,50039,2272,451
38111900,Anti-knock preparations (excl based on le a ),Kg,275,550,165
38112100,Additives for lubricating oils with petrol  um oils or oil obtain from bituminous,Kg,4990,3197,958
38112900,Additives for lubricating oils (excl with   etroleum oils),Kg,420,173,50
38119000,"Other additives other than for lubricating  oils, nes",Kg,4683,1712,513
38121000,Prepared rubber accelerators  .,Kg,3285,1222,274
38122000,"Compound plasticisers for rubber or plasti  s, nes",Kg,48980,13393,2993
38123100,"Mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (TMQ)",Kg,855,365,8
38123900,Other,Kg,25088,11182,2053
38130000,Preparations for fire-extinguishers; charg  d fire-extinguishing grenades,Kg,4500,368,90
38140000,"Organic composite solvents and thinners, n  s; paint or varnish removers.",LTR,93992,19626,7255
38151200,Supported catalysts with precious metal or  its compounds as the active substance,Kg,6,15,4
38151900,"Supported catalysts, nes  .",Kg,70,114,27
38159000,"Others - Reactive initiators, accelerators  & catalytic preparations nes.",Kg,14886,3417,827
38160000,"Refractory cements, mortars, concretes and similar compositions, including dolomite r",Kg,2928343,84264,18856
38170000,Mixed alkylbenzenes and mixed alkylnaphtha   enes other than those of head 2707 o,Kg,5250,1479,351
38190010,Hydraulic Brake Fluid,LTR,39471,11265,4005
38190090,Other prepared liquids for hydraulic transmission,LTR,28719,5891,2097
38200000,Anti-freezing preparations and prepared de  icing fluids,Kg,51232,7045,1727
38210000,Prepared culture media for development or   aintenance of  microorganisms(includi,Kg,1133,11100,2692
38221100,For malaria,Kg,478,1811,91
38221200,For Zika and other diseases transmitted by mosquitoes of the genus Aedes,Kg,43,386,19
38221900,Other,Kg,16263,31916,796
38229000,Other,Kg,71824,291776,46156
38231100,Stearic acid,Kg,59693,13992,2575
38231900,Industrial monocarboxylic fatty acids & ac  d oils from refining nes.,Kg,235362,38890,7253
38237000,Industrial fatty alcohols,Kg,3035,1493,275
38241000,Prepared binders for foundry moulds or cor  s,Kg,180083,4833,1017
38244000,"Prepared additives for cements, mortars or  concretes",Kg,1136306,88058,19284
38245000,Non-refractory mortars and concretes  .,Kg,182086,6511,1518
38248900,Containing short-chain chlorinated paraffins,Kg,3360,1919,466
38249100,Mixtures and preparations consisting mainlyof ...,Kg,3859,1106,272
38249200,Polyglycol esters of methylphosphonic acid,Kg,203,187,46
38249910,Chloromited Paraffin wax,Kg,167980,16078,3231
38249920,Solid or Dialysis bath concetrator used in kidney patient,Kg,159717,24788,248
38249990,Other chemical products and preparations of the chemical or allied industries,Kg,317913,33004,7810
38254900,Other waste organic solvents nes  .,Kg,600,79,28
39011000,"Polyethylene having a specific gravity <0 9 , in primary forms",Kg,1093175,219823,47944
39012000,"Polyethylene having a specific gravity >=0  4, in primary forms.",Kg,4337262,827277,170989
39013000,"Ethylene-vinyl acetate copolymers, in prim  ry forms",Kg,113485,39720,9199
39014000,"Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",Kg,2488850,479908,95294
39019000,"Other polymers of ethylene, in primary for  s, nes",Kg,207429,43600,10526
39021000,"Polypropylene, in primary forms",Kg,2405105,446386,71232
39022000,"Polyisobutylene, in primary forms",Kg,2001,728,177
39023000,"Propylene copolymers, in primary forms",Kg,442250,84160,17310
39029000,"Other polymers of propylene or other olefi  s, in primary forms, nes.",Kg,49378,4956,1067
39031100,"Expansible polystyrene, in primary forms  .",Kg,23000,6462,1570
39031900,"Polystyrene (excl expansible), in primary   orms",Kg,107700,16510,2694
39033000,"Acrylonitrile-butadiene-styrene (abs) copo  ymers, in primary forms",Kg,4000,1343,319
39039000,"Polymers of styrene, in primary forms, nes",Kg,81035,13336,2809
39041000,"Poly(vinyl chloride), not mixed with other  N substances, in primary forms",Kg,1172500,226360,54702
39042100,Non-plasticised poly(vinyl chloride) mixed   in primary forms,Kg,284000,105605,25662
39042200,"Plasticised poly(vinyl chloride) mixed, in  primary forms",Kg,338748,61244,12732
39049000,"Polymers of halogenated olefins, in primar   forms, nes.",Kg,158000,63663,15264
39051200,Poly(vinyl acetate) in aqueous dispersion   n primary forms.,Kg,6200,1595,313
39051900,"Polyvinyl acetate, not in aqueous dispersi  ns, in primary forms",Kg,13194,2390,473
39052100,"Vinyl acetate copolymers in aqueous disper  ion, in primary forms",Kg,14600,4974,1181
39052900,"Vinyl acetate copolymers, not in aqueous d  spersion, in primary forms",Kg,50000,18467,4129
39053000,"Poly(vinyl alcohol), whether or not contai  ing unhydrolysed acetate groups",Kg,5100,3578,710
39059100,Copolymers,Kg,2500,518,126
39059900,Polymers of other vinyl esters & other vin  l polymers in primary forms nes,Kg,5878,12056,752
39061000,"Poly(methyl methacrylate), in primary form",Kg,24130,5083,1135
39069000,"Acrylic polymers prepared,in primary forms   nes",Kg,91002,22886,4585
39071000,"Polyacetals, in primary forms",Kg,3108,1407,342
39072100,Bis (polyoxyethylene) methylphosphonate,Kg,7050,2423,575
39072900,Other,Kg,51755,15745,3826
39073000,Epoxide resines,Kg,25186,10907,2435
39074000,"Polycarbonates, in primary forms  .",Kg,26650,4544,1088
39075000,"Alkydresins, in primary forms",Kg,426855,77354,16126
39076100,Having a viscosity number of 78 ml/g or higher,Kg,2160050,385567,75466
39076900,Other,Kg,48,45,11
39079100,"Unsaturated polyesters, in primary forms,   es",Kg,162353,37467,7624
39079900,"Polyesters, in primary forms, nes",Kg,43712,14762,3070
39081000,"Polyamide -6, -11, -12, -6,6, -6,9, -6,10   r -6,12, in primary forms",Kg,16000,5990,1456
39089000,"Other polymides, in primary forms, nes",Kg,1233,1058,251
39091000,"Urea resins; thiourea resins, in primary f  rms.",Kg,556065,25551,5397
39092000,"Melamine resins, in primary forms",Kg,2444044,96304,20573
39093100,"Poly (methylene phenyl isocynate) (Crude MDI, polymeric MDI)",Kg,17010,6128,1346
39093900,Others,Kg,395,317,67
39094000,"Phenolic resins, in primary forms",Kg,71975,10998,2432
39095000,"Polyurethanes, in primary forms",Kg,124471,44600,9709
39100000,Silicones inprimary forms,Kg,52903,27362,6539
39111000,"Petroleum resins other resins and polyt erp nes, in primary forms",Kg,75,17,4
39119000,"Polysulphides, polysulphones and other pro  ucts, in primary forms",Kg,2,4,1
39121100,"Non-plasticised cellulose acetates, in pri  ary forms",Kg,2,0,0
39122000,"Cellulose nitrated (incl collodions), in  p imary forms.",Kg,3315,1646,294
39123100,"Carboxymethylcellulose and its salts, in p  imary forms.",Kg,1640,1063,79
39123900,"Other cellulose ethers, in primary forms,   es",Kg,70792,51212,12165
39129000,"Cellulose and its chemical derivatives, in  primary forms, nes",Kg,18950,10980,715
39131000,"Alginic acid, its salts and esters, in pri  ary forms",Kg,90,223,54
39139000,"Natural and modified natural polymers, nes  in primary forms",Kg,3346,2256,550
39140000,"Ion-exchangers based on polymers of 3901  t  3913, in primary forms",Kg,550,357,38
39159000,"Waste, parings and scrap, of other plastic  , nes",Kg,480,95,43
39161000,"Monofilament >1mm, rods and profile sha pes  of polymers of ethylene.",Kg,1610,1303,589
39162000,"Monofilament >1mm, rods, etc, of polyme rs  f vinyl chloride",Kg,523048,79947,37496
39169000,"Monofilament >1mm, rods and profile sha pes  of other plastics, nes",Kg,143166,20439,9578
39171000,Artificial guts of hardened proteins or ce  lulosic materials,Kg,12828,14684,7965
39172100,"Tubes, pipes and hoses, rigid, of polymers  of ethylene.",Kg,53210,16151,2037
39172300,"Tubes, pipes and hoses, rigid, of polymers  of vinyl chloride",Kg,86630,28808,16251
39172900,"Tubes, pipes and hoses, rigid, of other pl  stics, nes",Kg,10800,2853,1728
39173100,"Flexible tubes, pipes and hoses, with a bu  st pressure >=276mpa",Kg,19432,11173,5991
39173200,"Tubes, pipes and hoses, not reinforced, wi  hout fittings, nes",Kg,196,916,491
39173300,"Tubes, pipes and hoses, not reinforced, wi  h fittings attached, nes.",Kg,481,253,136
39173900,"Other tubes, pipes and hoses, nes",Kg,14722,11186,5834
39174000,"Fittings, for tubes, pipes and hoses, of p  astic",Kg,102096,59242,31994
39181010,"Floor covering of polymer of vinyl chloride, in roll or in the form of tiles",Kg,5446,1138,736
39181090,Wall or Celling coverings and others of polymer of vinyl chloride,Kg,210346,32273,21029
39189010,"Floor covering of other plastic, in roll or in the form of tiles",Kg,19876,5270,3458
39189090,Wall or Celling coverings and others of polymer of other plastic,Kg,56392,6408,4236
39191000,"Self-adhesive tape, plates, strip, in r oll , width =<20cm",Kg,14590,4488,2624
39199000,"Other self-adhesive plates, tape, strip, f  il of plastics, nes.",Kg,79502,24836,14353
39201010,"Plates, of polymers of ethylene, not re inf rced, etc",Kg,587174,40264,11310
39201090,"Plates, of polymers of ethylene, not re inf rced, etc",Kg,531704,38135,16137
39202010,"Plates, of polymers of propylene, not r ein orced, etc",Kg,11359,2675,1212
39202090,"Plates, of polymers of propylene, not r ein orced, etc",Kg,479914,116742,39228
39203010,"Plates, of polymers of styrene, not rei nfo ced, etc",Kg,85,26,14
39203090,"Plates, of polymers of styrene, not rei nfo ced, etc",Kg,1760,482,259
39204390,"Platesa, polymers of vinyl chloride, conta  ning <6% of plasticisers.",Kg,24648,6819,3774
39204910,"Other - Plates, sheets of polymers of viny   chloride nes",Kg,10660,3350,245
39204990,"Other - Plates, sheets of polymers of viny   chloride nes",Kg,259062,44238,13204
39205190,"Plates, of poly(methyl methacrylate), n ot  einforced, etc",Kg,3354,1128,612
39205910,"Plates, of other acrylic polymers, not  rei forced, etc, nes",Kg,388,1124,590
39205990,"Plates, of other acrylic polymers, not  rei forced, etc, nes",Kg,70977,7712,3354
39206110,"Plates, of polycarbonates, not reinforc ed, etc.",Kg,1182,293,154
39206190,"Plates, of polycarbonates, not reinforc ed, etc.",Kg,2366,873,409
39206210,Printed ethylene terephthalate,Kg,31940,5668,2134
39206290,Other ethylene terephthalate,Kg,357790,82458,25343
39206390,"Plates, of unsaturated polyesters, not  rei forced, etc.",Kg,204047,47216,14409
39206910,"Plates, of other polyesters, not reinfo rce ,etc, nes",Kg,13679,6082,816
39206990,"Plates, of other polyesters, not reinfo rce ,etc, nes",Kg,96518,22628,7172
39209910,"Plates, of other plastics, not reinforced, printed one",Kg,76667,28940,10619
39209990,"Plates, of other plastics, not reinforc ed, etc, nes",Kg,779097,61398,19036
39211110,"Printed  plates, sheets, film, foil and strip, of polymers of styrene",Kg,5390,833,438
39211190,"Other plates, sheets, film, foil and strip, of polymers of styrene",Kg,3223,885,354
39211290,"Cellular plates, strips of polymers of  vin l chloride",Kg,39859,6006,3258
39211310,"Cellular plates, strips of polymers of  pol urethanes",Kg,637,360,150
39211390,"Cellular plates, strips of polymers of  pol urethanes",Kg,51,48,26
39211410,"Cellular plates, strips of polymers of  reg nerated cellulose",Kg,2340,471,255
39211910,"Cellular plates, strips of other plasti cs, nes.",Kg,19178,4776,1556
39211990,"Cellular plates, strips of other plasti cs, nes.",Kg,74562,19519,8983
39219011,Decorative Laminated sheets (sunmica and formica),SQM,618940,130985,69277
39219019,Other,Kg,7292,1541,835
39219091,"Other cellular plates, strips, of plast ics  nes",Kg,2886,427,240
39219092,Decorative Laminated Sunmica & Formica sheets,SQM,73982,18467,9690
39219099,"Other cellular plates, strips, of plast ics  nes",Kg,62677,15103,8165
39221000,"Baths, shower-baths, sinks and wash-basin   f plastic",Kg,4290,2291,1204
39222000,Lavatory seats and covers of plastics,Kg,9720,2796,1485
39229000,"Bidets, lavatory pans and other sanitar y w re of plastics, nes.",Kg,21546,14556,7667
39231010,Plastic tubes for packing purpose,Kg,54075,36098,12249
39231090,"Other Boxes, cases, crates and similar art  cles of plastics",Kg,106128,34073,18150
39232100,Sacks & bags of polymers of ethylene  . .,Kg,20651,8110,4262
39232900,Sacks & Bags of other plastics,Kg,11209,3570,1490
39233010,Pet bottle (bottle pre-form) of plastics  .,Kg,310397,81627,31324
39233090,"Other - Carboys, bottles, flasks and simil  r articles nes of plastics",Kg,24758,9407,1818
39234090,"Other - spools, cops, bobbins and similar   upports nes of plastics",Kg,4362,1700,317
39235000,"Stoppers, lids, caps and other closures of  plastics",Kg,117013,56826,22271
39239010,Composite LPG Cylinder,Kg,72,17,9
39239090,Other Packing of goods,Kg,77928,29110,15756
39241010,Infant feeding bottles   .,Kg,3480,1708,613
39241020,Melamine utensils   .,Kg,8903,3045,1652
39241090,Other - Tableware and kitchenware nes of p  astics,Kg,94176,26141,14570
39249010,Special types of dishes feeding beans and water to chickens,PCS,1880,1031,294
39249090,Other,Kg,42682,14806,8032
39249095,"Household and toilet articles of plastics,  nes",Kg,75,17,7
39251000,"Reservoirs and similar containers, capa cit  >300 l, of plastics.",Kg,3542,2343,1229
39252000,"Doors, windows and their frames and thresh  lds for doors, of plastics",Kg,21331,8956,4703
39253000,"Shutters, blinds and similar articles and   arts, of plastics",Kg,6644,1592,849
39259010,Roofing sheet and Roofing Tile,Kg,1234,867,470
39259020,PUF Sandwitch wall and Roof Panel,Kg,44482,14688,7787
39259030,Aluminium Composite Panel,Kg,156867,21001,11589
39259090,Other builders wares of plastics,Kg,191368,33411,17702
39261000,Office or school supplies of plastics   .,Kg,36159,10879,6181
39262011,"Gloves, use in medical & surgical purpose (Disposable)",PR,1,0,0
39262019,Other gloves,PR,17520,67,35
39262021,"Gown, Uses in Medical & Surgical Purpose",PCS,2000,107,20
39262031,"Apron, Uses in Medical & Surgical Purpose",PCS,5000,106,20
39262090,Other clothing accessories (plastic),PCS,54591,2816,1514
39263000,"Fittings for furniture, coachwork or the l  ke of plastics",Kg,177,107,57
39264000,Statuettes and other ornamental articles o   plastics,Kg,8896,2295,1240
39269010,"Bangles,Tika,Tikuli of plastics",GRO,41989,4967,657
39269020,Plastic dye for shoe making  and other dye,Kg,3013,1065,256
39269030,Plastic apparatus for laboratory use  . .,PCS,1074,4632,2173
39269031,Urine bag,PCS,14700,307,57
39269039,Other laboratory equipment of plastic,PCS,149999,10930,709
39269091,Tarpaulin and tents made up of plastics,Kg,40679,12126,6363
39269092,Labels and tags,Kg,8727,7541,4091
39269093,Insects trap,Kg,453,710,252
39269094,Cloth hanger,Kg,506,118,64
39269095,Artifical Plastic Grass Turf,SQM,6457,5150,2783
39269099,Other articles of plastics nes,Kg,424692,139683,76740
